,time,duration,code,label
0,25674,0,16,1
1,60727,0,14,1
2,80135,0,4,1
3,80159,0,11,0
4,80405,0,21,1
5,80660,0,1,0
6,80916,0,19,1
7,81172,0,18,1
8,81428,0,20,1
9,81684,0,24,0
10,81940,0,23,0
11,82196,0,22,0
12,82453,0,12,1
13,83928,0,22,0
14,84181,0,19,0
15,84437,0,21,1
16,84693,0,18,0
17,84949,0,23,0
18,85205,0,24,0
19,85462,0,20,1
20,85718,0,11,0
21,85974,0,1,0
22,86230,0,12,1
23,87097,0,13,0
24,92536,0,7,1
25,92563,0,20,0
26,92809,0,11,1
27,93065,0,21,0
28,93322,0,18,1
29,93578,0,23,0
30,93834,0,19,0
31,94090,0,22,1
32,94346,0,1,1
33,94602,0,24,1
34,94858,0,12,1
35,95724,0,23,1
36,95978,0,22,1
37,96234,0,20,0
38,96491,0,1,0
39,96747,0,18,0
40,97003,0,19,0
41,97259,0,24,0
42,97515,0,11,1
43,97771,0,21,1
44,98027,0,12,0
45,98894,0,13,1
46,104330,0,4,0
47,104359,0,23,1
48,104606,0,1,0
49,104862,0,19,1
50,105118,0,11,0
51,105374,0,20,0
52,105630,0,24,1
53,105886,0,18,0
54,106142,0,21,0
55,106398,0,22,1
56,106654,0,12,1
57,107520,0,21,0
58,107775,0,18,0
59,108031,0,11,1
60,108287,0,22,0
61,108543,0,1,1
62,108799,0,24,1
63,109055,0,23,0
64,109311,0,19,1
65,109568,0,20,0
66,109824,0,12,0
67,110689,0,13,1
68,116146,0,3,1
69,116173,0,19,0
70,116419,0,23,1
71,116675,0,11,1
72,116931,0,22,0
73,117187,0,1,1
74,117443,0,24,0
75,117699,0,20,0
76,117955,0,18,0
77,118211,0,21,1
78,118468,0,12,1
79,119333,0,21,0
80,119588,0,1,1
81,119844,0,18,1
82,120100,0,24,0
83,120356,0,23,1
84,120612,0,19,0
85,120869,0,22,1
86,121124,0,11,1
87,121381,0,20,0
88,121637,0,12,1
89,122504,0,13,0
90,127929,0,2,1
91,127953,0,22,1
92,128199,0,20,1
93,128455,0,1,1
94,128711,0,19,1
95,128967,0,21,0
96,129223,0,18,0
97,129480,0,24,1
98,129736,0,11,1
99,129992,0,23,0
100,130248,0,12,1
101,131114,0,24,1
102,131368,0,22,0
103,131624,0,18,0
104,131880,0,20,1
105,132136,0,19,0
106,132393,0,21,1
107,132649,0,11,0
108,132905,0,23,0
109,133161,0,1,0
110,133417,0,12,0
111,134283,0,13,1
112,139740,0,8,1
113,139765,0,21,1
114,140011,0,22,0
115,140267,0,23,0
116,140523,0,20,0
117,140780,0,24,0
118,141036,0,19,1
119,141292,0,1,1
120,141548,0,18,1
121,141804,0,11,0
122,142060,0,12,1
123,142926,0,22,0
124,143180,0,23,1
125,143437,0,20,1
126,143693,0,19,0
127,143950,0,11,1
128,144205,0,24,0
129,144461,0,1,1
130,144717,0,21,1
131,144973,0,18,0
132,145229,0,12,1
133,146096,0,13,1
134,151516,0,6,1
135,151545,0,1,1
136,151793,0,11,1
137,152049,0,24,1
138,152305,0,20,1
139,152561,0,23,1
140,152817,0,19,1
141,153073,0,21,0
142,153329,0,22,1
143,153585,0,18,1
144,153841,0,12,1
145,154708,0,11,0
146,154962,0,23,0
147,155218,0,19,1
148,155474,0,21,1
149,155730,0,22,1
150,155986,0,20,0
151,156242,0,18,0
152,156498,0,24,1
153,156754,0,1,1
154,157012,0,12,1
155,157877,0,13,0
156,159260,0,15,0
157,165853,0,14,0
158,185216,0,5,0
159,185241,0,24,0
160,185485,0,19,0
161,185742,0,11,1
162,185998,0,18,1
163,186254,0,23,1
164,186510,0,1,1
165,186766,0,21,0
166,187022,0,20,1
167,187278,0,22,0
168,187535,0,12,1
169,188400,0,11,0
170,188655,0,18,1
171,188911,0,24,0
172,189167,0,1,1
173,189423,0,19,1
174,189679,0,23,0
175,189935,0,22,0
176,190191,0,21,1
177,190447,0,20,1
178,190704,0,12,0
179,191570,0,13,0
180,196660,0,5,1
181,196683,0,1,1
182,196930,0,21,0
183,197186,0,20,0
184,197442,0,24,0
185,197698,0,22,1
186,197954,0,23,1
187,198210,0,19,1
188,198466,0,11,0
189,198722,0,18,0
190,198979,0,12,1
191,199844,0,18,1
192,200099,0,23,0
193,200355,0,22,1
194,200611,0,20,0
195,200867,0,24,1
196,201123,0,11,1
197,201379,0,1,1
198,201635,0,21,1
199,201891,0,19,1
200,202148,0,12,0
201,203015,0,13,0
202,208450,0,5,1
203,208481,0,20,1
204,208726,0,23,0
205,208982,0,22,0
206,209238,0,19,0
207,209494,0,18,0
208,209750,0,21,1
209,210006,0,24,0
210,210262,0,11,1
211,210518,0,1,0
212,210775,0,12,1
213,211641,0,21,1
214,211895,0,22,0
215,212151,0,11,0
216,212407,0,24,0
217,212663,0,19,0
218,212919,0,18,1
